*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-29 11:48:15:259620,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:15:354624,Detected ARTags: ,"32, 33"
2017-11-29 11:48:15:355513,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:15:355675,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:15:559934,Detected ARTags: ,"32, 33"
2017-11-29 11:48:15:560836,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:15:561111,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:15:658656,Detected ARTags: ,"32, 33"
2017-11-29 11:48:15:660039,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:15:660371,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:15:757489,Detected ARTags: ,"32, 33"
2017-11-29 11:48:15:757847,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:15:758025,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:15:857102,Detected ARTags: ,"32, 33"
2017-11-29 11:48:15:857997,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:15:857891,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:15:956421,Detected ARTags: ,"32, 33"
2017-11-29 11:48:15:957262,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:15:957521,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:16:056026,Detected ARTags: ,"32, 33"
2017-11-29 11:48:16:056939,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:16:057165,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:16:155453,Detected ARTags: ,"32, 33"
2017-11-29 11:48:16:156573,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:16:156805,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:16:250163,Detected ARTags: ,"32, 33"
2017-11-29 11:48:16:250552,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:16:250639,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:16:355344,Detected ARTags: ,"32, 33"
2017-11-29 11:48:16:355762,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:16:356097,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:16:449208,Detected ARTags: ,"32, 33"
2017-11-29 11:48:16:450190,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:16:450264,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:16:559266,Detected ARTags: ,"32, 33"
2017-11-29 11:48:16:560702,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:16:561052,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:16:657079,Detected ARTags: ,"32, 33"
2017-11-29 11:48:16:657868,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:16:658240,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:16:755798,Detected ARTags: ,"32, 33"
2017-11-29 11:48:16:756564,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:16:756856,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:16:849661,Detected ARTags: ,"32, 33"
2017-11-29 11:48:16:850054,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:16:850265,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:16:956269,Detected ARTags: ,"32, 33"
2017-11-29 11:48:16:957373,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:16:957685,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:17:051199,Detected ARTags: ,"32, 33"
2017-11-29 11:48:17:052057,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:17:052253,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:17:156450,Detected ARTags: ,"32, 33"
2017-11-29 11:48:17:157621,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:17:157879,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:17:255135,Detected ARTags: ,"32, 33"
2017-11-29 11:48:17:256479,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:17:256803,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:17:356108,Detected ARTags: ,"32, 33"
2017-11-29 11:48:17:356967,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:17:357287,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:17:446822,Detected ARTags: ,"32, 33"
2017-11-29 11:48:17:447021,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:17:447144,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:17:654956,Detected ARTags: ,"32, 33"
2017-11-29 11:48:17:656038,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:17:655599,Detected ARTags: ,"[32, 33]"
