*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-04 16:27:54:063836,Reading speed:,0.06with0.06delay
2017-12-04 16:27:54:063908,Instruction:,"NumberOfStart:
1
ChildName:
test
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:




# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

2017-12-04 16:28:20:107226,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:20:107336,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:20:210423,Detected ARTags: ,"30, 31"
2017-12-04 16:28:20:211148,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:20:211481,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:20:318362,Detected ARTags: ,"30, 31"
2017-12-04 16:28:20:320584,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:20:320783,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:20:403118,Detected ARTags: ,"30, 31"
2017-12-04 16:28:20:403629,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:20:403583,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:20:510866,Detected ARTags: ,"30, 31"
2017-12-04 16:28:20:511881,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:20:512236,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:20:611051,Detected ARTags: ,"30, 31"
2017-12-04 16:28:20:612324,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:20:612218,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:20:667774,Robot State:,Looking at The Book
2017-12-04 16:28:20:712586,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:20:712833,Detected ARTags: ,"30, 31"
2017-12-04 16:28:20:712962,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:20:804427,Detected ARTags: ,"30, 31"
2017-12-04 16:28:20:804775,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:20:804875,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:20:904049,Detected ARTags: ,"30, 31"
2017-12-04 16:28:20:904295,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:20:904357,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:21:003199,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:21:002787,Detected ARTags: ,"30, 31"
2017-12-04 16:28:21:003336,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:21:219240,Detected ARTags: ,"30, 31"
2017-12-04 16:28:21:219591,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:21:219674,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:21:309986,Detected ARTags: ,"30, 31"
2017-12-04 16:28:21:310277,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:21:310460,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:21:415067,Detected ARTags: ,"30, 31"
2017-12-04 16:28:21:416136,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:21:416401,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:21:518380,Detected ARTags: ,"30, 31"
2017-12-04 16:28:21:519732,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:21:519982,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:21:607113,Detected ARTags: ,"30, 31"
2017-12-04 16:28:21:607480,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:21:607705,Current State of Reading: ,Waiting for Red-card
